Region,Item,DLC
East Grassy Plains,HP Potion,
East Grassy Plains,Life Cure,
East Grassy Plains,Oak Bow,
East Grassy Plains,Sack of Copper,
East Grassy Plains,SP Potion,
East Grassy Plains,Stun Antidote,
Haniwa Cave,HP Potion,
Haniwa Cave,SP Potion,
West Grassy Plains,HP Potion,
West Grassy Plains,Life Cure,
West Grassy Plains,Pine Bow,
West Grassy Plains,Sack of Copper,
West Grassy Plains,Snakeskin Boots,
West Grassy Plains,Snakeskin Helm,
West Grassy Plains,SP Potion,
Mount Snowpeak,Bronze Claymore,
Mount Snowpeak,Bronze Sword,
Mount Snowpeak,Life Cure,
Mount Snowpeak,SP Potion,
Waterfall Cave,HP Potion,
Waterfall Cave,Iron Armour,
Waterfall Cave,Life Cure,
Waterfall Cave,Poison Antidote,
Waterfall Cave,Sack of Copper,
Lava Cave,HP Potion,
Lava Cave,Iron Gauntlets,
Lava Cave,Iron Shield,
Lava Cave,Life Cure,
Lava Cave,Sack of Copper,
Mount Snowpeak Summit,Hi-SP Potion,
Mount Snowpeak Summit,Life Cure,
Mount Snowpeak Summit,Sack of Silver,
Napdragon's Nest,Hi-SP Potion,
Tortuga Archipelago,HP Potion,
Tortuga Archipelago,Life Cure,
Tortuga Archipelago,Sack of Silver,
Tortuga Archipelago,Sleep Antidote,
Tortuga Archipelago,SP Potion,
Tortuga Archipelago,Stun Antidote,
Deepsea Cave,HP Potion,
Deepsea Cave,Life Cure,
Deepsea Cave,Palm Staff,
Deepsea Cave,Sack of Silver,
Deepsea Cave,Silver Sword,
Deepsea Cave,SP Potion,
Nautilus Cave,Coral Necklace,
Nautilus Cave,Hi-HP Potion,
Nautilus Cave,HP Potion,
Nautilus Cave,Life Cure,
Nautilus Cave,Mermaid Gloves,
Nautilus Cave,Poison Antidote,
Nautilus Cave,Sack of Silver,
Nautilus Cave,Sleep Antidote,
Nautilus Cave,SP Potion,
Forgotten Tunnel,Hi-HP Potion,
Forgotten Tunnel,Shellmet,
Aridian Desert,Hi-HP Potion,
Aridian Desert,Hi-SP Potion,
Aridian Desert,Life Cure,
Aridian Desert,Poison Bomb,
Aridian Desert,Sack of Gold,
Aridian Desert,Sleep Bomb,
Aridian Desert,Star Cluster,
Aridian Desert,Stun Bomb,
Cave of Bones,Hi-HP Potion,
Cave of Bones,Hi-SP Potion,
Cave of Bones,HP Potion,
Cave of Bones,Life Cure,
Cave of Bones,Poison Bomb,
Cave of Bones,Sack of Silver,
Cave of Bones,Savage Necklace,
Cave of Bones,Sleep Bomb,
Cave of Bones,SP Potion,
Cave of Bones,Stun Bomb,
Cave of Bones,Sugar Staff,
Giant Fossil Hall,Energising Stone,
Giant Fossil Hall,Hi-HP Potion,
Giant Fossil Hall,Hi-SP Potion,
Giant Fossil Hall,Medium Bomb,
Giant Fossil Hall,Sack of Gold,
Giant Fossil Hall,Sugar Bow,
Giant Fossil Hall,Sugar Staff,
Subterranean Lake,Hi-SP Potion,
Subterranean Lake,Life Cure,
Subterranean Lake,Poison Antidote,
Subterranean Lake,Sack of Gold,
Subterranean Lake,Savage Armour,
Subterranean Lake,Savage Cap,
Subterranean Lake,Savage Necklace,
Subterranean Lake,Sleep Antidote,
Ancient Ruins,Attack Upgrade Stone,
Ancient Ruins,Black-Rimmed Glasses,
Ancient Ruins,Def. Upgrade Stone,
Ancient Ruins,Elixir,
Ancient Ruins,Gold Dagger,
Ancient Ruins,Gold Gauntlets,
Ancient Ruins,Gold Helm,
Ancient Ruins,Gold Leg Guards,
Ancient Ruins,Hi-HP Potion,
Ancient Ruins,Hi-SP Potion,
Ancient Ruins,Life Cure,
Ancient Ruins,Magic Aid,
Ancient Ruins,M. Def. Upgrade Stone,
Ancient Ruins,Magic Upgrade Stone,
Ancient Ruins,Panacea,
Ancient Ruins,Power Aid,
Ancient Ruins,Sack of Gold,
Ancient Ruins,Savage Necklace,
Ancient Ruins,Star Cluster,
Chamber of Gold,Emerald,
Chamber of Gold,Ruby,
Chamber of Gold,Sack of Gold,
Chamber of Gold,Sapphire,
East Levitania,Elixir,
East Levitania,Energy Powder,
East Levitania,Healing Powder,
East Levitania,Resistance Spray,
East Levitania,Sack of Treasure,
East Levitania,Superior Crit Aid,
Central Levitania,Elixir,
Central Levitania,Energy Powder,
Central Levitania,Great Bomb,
Central Levitania,Healing Powder,
Central Levitania,Power Spray,
Central Levitania,Sack of Treasure,
Central Levitania,Superior Hi-SP Potion,
West Levitania,Daredevil Aid,
West Levitania,Energy Powder,
West Levitania,Healing Powder,
West Levitania,Light Mana,
West Levitania,Sack of Treasure,
West Levitania,Spraylixir,
Central Grassland,Ancient Dagger,DLC
Central Grassland,Angelic Remedy,DLC
Central Grassland,Bravery Orb,DLC
Central Grassland,Fafnir's Helm,DLC
Central Grassland,Fafnir's Mail,DLC
Central Grassland,Creator Cuirass,DLC
Central Grassland,Creator Boots,DLC
Central Grassland,Creator Gauntlets,DLC
Central Grassland,Creator Helm,DLC
Central Grassland,Creator Leggings,DLC
Central Grassland,Divine Mist,DLC
Central Grassland,Life Cure,DLC
Central Grassland,Luck Potion,DLC
Central Grassland,Miracle,DLC
Central Grassland,Origin Island Bottoms,DLC
Central Grassland,Origin Island Cap,DLC
Central Grassland,Rainbow Hood,DLC
Central Grassland,Rainbow Robe,DLC
Central Grassland,Sack of Secret Treasure,DLC
Central Grassland,Superior Elixir,DLC
Central Grassland,Wisdom Orb,DLC
Central Grassland,Wyvern Bow,DLC
Rocky Hill Shrine,Ancient Frying Pan,DLC
Rocky Hill Shrine,Angelic Remedy,DLC
Rocky Hill Shrine,Berserk Potion,DLC
Rocky Hill Shrine,Bravery Orb,DLC
Rocky Hill Shrine,Champion's Blade,DLC
Rocky Hill Shrine,Gigaga Axe,DLC
Rocky Hill Shrine,Divine Mist,DLC
Rocky Hill Shrine,Love Orb,DLC
Rocky Hill Shrine,Miracle,DLC
Rocky Hill Shrine,Sack of Secret Treasure,DLC
Rocky Hill Shrine,Shadow Armour,DLC
Rocky Hill Shrine,Shadow Boots,DLC
Rocky Hill Shrine,Shadow Cap,DLC
Rocky Hill Shrine,Shadow Gauntlets,DLC
Rocky Hill Shrine,Shadow Leg Guards,DLC
